F_BUS;T_BUS;BR_R;BR_X;BR_B;RATE_A;RATE_B;RATE_C;TAP;SHIFT;BR_STATUS;ANGMIN;ANGMAX;PF;QF;PT;QT;MU_SF;MU_ST;MU_ANGMIN;MU_ANGMAX
r1v11.0b1;r1v11.0b3;0.007676033;0.006396694;0;7.621023553;7.621023553;7.621023553;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b3;r1v11.0b4;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b4;r1v0.415b2;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b2;r1v0.415b7;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b3;r1v11.0b2;0.008780165;0.003292562;0;4.572614132;4.572614132;4.572614132;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b2;r1v0.415b1;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b3;r1v11.0b5;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b5;r1v0.415b3;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b3;r1v0.415b8;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b3;r1v0.415b9;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b3;r1v11.0b6;0.002132231;0.00177686;0;7.621023553;7.621023553;7.621023553;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b6;r1v0.415b4;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b4;r1v0.415b10;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b6;r1v0.23b1;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.23b1;r1v0.23b2;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.23b1;r1v0.23b3;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b3;r1v11.0b7;0.003409091;0.004909091;0;8.668914292;8.668914292;8.668914292;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b7;r1v0.415b5;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b7;r1v11.0b8;0.004721074;0.006798347;0;8.859439881;8.859439881;8.859439881;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v11.0b8;r1v0.415b6;0;0;0;1000;1000;1000;1;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b11;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b12;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b13;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b14;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b15;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b16;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b17;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b18;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b19;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b20;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b21;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b22;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b23;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b24;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b25;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b26;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b27;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b28;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b29;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b30;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b31;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b32;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b33;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b34;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b35;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b36;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b37;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b38;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b39;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
r1v0.415b5;r1v0.415b40;0;0;0;1000;1000;1000;0;0;1;0;0;0;0;0;0;0;0;0;0
