BUS_I;BUS_TYPE;PD;QD;GS;BS;BUS_AREA;VM;VA;BASE_KV;ZONE;VMAX;VMIN
r1v11.0b1;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v11.0b2;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b1;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v11.0b3;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v11.0b4;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b2;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v11.0b5;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b3;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v11.0b6;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b4;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.23b1;1;0;0;0;0;1;0;0;0.23;0;1.06;0.94
r1v11.0b7;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b5;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v11.0b8;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b6;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v11.0b9;1;0;0;0;0;1;0;0;11;0;1.06;0.94
r1v0.415b7;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b8;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b9;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b10;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.23b2;1;0;0;0;0;1;0;0;0.230;0;1.06;0.94
r1v0.23b3;1;0;0;0;0;1;0;0;0.230;0;1.06;0.94
r1v0.415b11;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b12;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b13;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b14;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b15;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b16;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b17;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b18;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b19;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b20;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b21;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
r1v0.415b22;1;0;0;0;0;1;0;0;0.415;0;1.06;0.94
