BUS_I;BUS_TYPE;PD;QD;GS;BS;BUS_AREA;VM;VA;BASE_KV;ZONE;VMAX;VMIN
r2v47.0b1;3;0;0;0;0;2;0;0;47;0;1.06;0.94
r2v11.0b1;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b2;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b3;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b4;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b5;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b6;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b7;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v0.415b1;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v11.0b8;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v11.0b9;1;0;0;0;0;2;0;0;11;0;1.06;0.94
r2v0.415b2;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v0.415b3;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v0.415b4;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v0.415b5;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v0.415b6;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v0.415b7;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
r2v0.415b8;1;0;0;0;0;2;0;0;0.415;0;1.06;0.94
